question,type,nsfw
Do you prefer to watch movies in the theater or in the comfort of your own home?,General,False
What's the worst movie you have seen recently?,General,False
What's the strangest movie you have ever seen?,General,False
What is the most overrated movie?,General,False
What's your favorite genre of movie?,General,False
What movie scene choked you up the most?,General,False
Do you like documentaries? Why / why not?,General,False
When was the last time you went to a movie theater?,General,False
Do movies have the same power as books to change the world?,General,False
Which do you prefer? Books or movies?,General,False
Do you like horror movies? Why or why not?,General,False
What was the last book you read?,General,False
What book has had the biggest impact on your life?,General,False
What was your favorite book as a child?,General,False
Do you prefer physical books or ebooks?,General,False
What is the longest book you have read?,General,False
What was the worst book you had to read for school? How about the best book you had to read for school?,General,False
What book genres do you like to read?,General,False
Do you prefer fiction or nonfiction books?,General,False
What book has influenced you the most?,General,False
What book has had the biggest effect on the modern world?,General,False
Do you think people read more or less books now than 50 years ago?,General,False
How fast do you read?,General,False
How often do you go to the library?,General,False
"Now that <a href=""https://en.wikipedia.org/wiki/Self-publishing"">indie publishing</a> has become easier, have books gotten better or worse?",General,False
What song always puts you in a good mood?,General,False
"Which do you prefer, popular music or relatively unknown music?",General,False
What was the last song you listened to?,General,False
What is your favorite movie soundtrack?,General,False
Are there any songs that always bring a tear to your eye?,General,False
Do you like going to concerts? Why or why not? What was the last concert you went to?,General,False
Who was the first band or musician you were really into? Do you still like them?,General,False
"Records, tapes, CDs, MP3s. Which did you grow up with? What is good and bad about each?",General,False
What bands or types of music do you listen to when you exercise?,General,False
Do you like classical music?,General,False
What's the best way to discover new music?,General,False
How has technology changed the music industry?,General,False
What are the three best apps on your phone?,General,False
What's the most addictive mobile game you have played?,General,False
An app mysteriously appears on your phone that does something amazing. What does it do?,General,False
How many apps do you have on your phone?,General,False
What is the most annoying app you have tried?,General,False
Which app seemed like magic the first time you used it?,General,False
What is the strangest app you have heard of or tried?,General,False
Which app has helped society the most? Which one has hurt society the most?,General,False
What is the most useful app on your phone?,General,False
What apps have changed your life a lot?,General,False
What do app makers do that really annoys you?,General,False
How often do you check your phone?,General,False
Do you always have to have the latest phone?,General,False
What was your first smart phone? How did you feel when you got it?,General,False
What is the most annoying thing about your phone?,General,False
What kind of case do you have for your phone? Why did you choose it?,General,False
Do you text more or call more? Why?,General,False
What will phones be like in 10 years?,General,False
Do you experience phantom vibration? (Feeling your phone vibrate even though it didn't.),General,False
How do you feel if you accidentally leave your phone at home?,General,False
What do you wish your phone could do?,General,False
What sports do you like to watch?,General,False
Who are some of your favorite athletes?,General,False
Which sports do you like to play?,General,False
Which sport is the most exciting to watch? Which is the most boring to watch?,General,False
Do athletes deserve the high salaries they receive? Why or why not?,General,False
What is the hardest sport to excel at?,General,False
Who are the 3 greatest athletes of all time?,General,False
What defines a sport? Is fishing a sport? How about video game tournaments?,General,False
Why do you think sports are common across almost all cultures present and past?,General,False
What do you think the oldest sport still being played is?,General,False
How much time do you spend watching sports in a week?,General,False
Do you play sports video games? Which ones? Is playing the video game or sport more fun? Why?,General,False
What is the worst restaurant you have ever eaten at?,General,False
What restaurant do you eat at most?,General,False
What's the worst fast food restaurant?,General,False
What is the best restaurant in your area?,General,False
Would you eat at a restaurant that was really dirty if the food was amazing?,General,False
What kind of interior do you like a restaurant to have?,General,False
"If you opened a restaurant, what kind of food would you serve?",General,False
What was your favorite restaurant when you were in university? How about when you were a child?,General,False
What is the strangest themed restaurant you have heard of?,General,False
What is the fanciest restaurant you have eaten at?,General,False
What is the most disgusting thing you have heard about that happened at a restaurant?,General,False
Have you traveled to any different countries? Which ones?,General,False
Where is the most relaxing place you have been?,General,False
Where is the most awe inspiring place you have been?,General,False
Do you prefer traveling alone or with a group?,General,False
What do you think of tour group packages?,General,False
Talk about some of the interesting people you have met while traveling.,General,False
Where would you like to travel next?,General,False
What was the most over hyped place you've traveled to?,General,False
"What's the best way to travel? (Plane, car, train, etc.)",General,False
What's the best thing about traveling? How about the worst thing?,General,False
How do you think traveling to a lot of different countries changes a person?,General,False
What is the longest plane trip you have taken?,General,False
What do you think of stay-cations? (Vacationing and seeing tourist attractions where you live.),General,False
Do you prefer to go off the beaten path when you travel?,General,False
Where do you get your recommendations for what to do and where to stay when you travel?,General,False
What is the worst hotel you have stayed at? How about the best hotel?,General,False
What is your favorite piece of technology that you own?,General,False
What piece of technology is really frustrating to use?,General,False
What was the best invention of the last 50 years?,General,False
Does technology simplify life or make it more complicated?,General,False
Which emerging technology are you most excited about?,General,False
What problems will technology solve in the next 5 years? What problems will it create?,General,False
Will technology save the human race or destroy it?,General,False
What piece of technology would look like magic or a miracle to people in medieval Europe?,General,False
Can you think of any technology that has only made the world worse? How about a piece of technology that has only made the world better?,General,False
What technology from a science fiction movie would you most like to have?,General,False
What scifi movie or book would you like the future to be like?,General,False
What do you think the next big technological advance will be?,General,False
Do you care about fashion? What style of clothes do you usually wear?,General,False
What is the best pair of shoes you have ever owned? Why were they so good?,General,False
What is your favorite shirt?,General,False
What is the most embarrassing piece of clothing you own?,General,False
Does fashion help society in any way?,General,False
What is a fashion trend you are really glad went away?,General,False
"Who do you think has the biggest impact on fashion trends: actors and actresses, musicians, fashion designers, or consumers?",General,False
What old trend is coming back these days?,General,False
"If you didn't care at all what people thought of you, what clothes would you wear?",General,False
What is the most comfortable piece of clothing you own?,General,False
How do clothes change how the opposite sex views a person?,General,False
"What is the craziest, most outrageous thing you want to achieve?",General,False
What are some goals you have already achieved?,General,False
What personal goals do you have?,General,False
What do you hope to achieve in your professional life?,General,False
Have your parents influenced what goals you have?,General,False
Do you usually achieve goals you set? Why or why not?,General,False
What is the best way to stay motivated and complete goals?,General,False
What are some goals you have failed to accomplish?,General,False
When do you want to retire? What do you want to do when you retire?,General,False
What are your goals for the next two years?,General,False
How have your goals changed over your life?,General,False
How much do you plan for the future?,General,False
How do you plan to make the world a better place?,General,False
What's the most refreshing thing on a hot summer day?,General,False
What's the best thing to do on a cold winter day?,General,False
Where is the nicest place you have been to in fall?,General,False
What is your favorite thing to eat or drink in winter?,General,False
Do you prefer summer or winter activities?,General,False
What do you like to do in spring?,General,False
Did your family take seasonal vacations?,General,False
Do you feel like fall and spring are getting shorter?,General,False
Which season are you most active in?,General,False
Is it better to live where there are four seasons or where one season takes up most of the year?,General,False
"If you could make a holiday, what would it be like? What traditions would it have? What would people eat on your holiday?",General,False
What is the biggest holiday for your family?,General,False
Do you wish there were more or less holidays? Why?,General,False
"If you had to get rid of a holiday, which would you get rid of? Why?",General,False
What is your favorite holiday?,General,False
What kinds of food do you usually eat on your favorite holiday?,General,False
Does having a day off for a holiday increase or decrease productivity at work?,General,False
What holidays have been over commercialized?,General,False
"If some of the lesser known holidays were commercialized, what would the commercialization look like?",General,False
What do you know about the history of some holidays?,General,False
"Another fun thing you can do is talk about holiday related trivia and facts. Here are some <a href=""https://triviaquestionsworld.com/christmas-trivia/"">Christmas trivia questions</a>, <a href=""https://triviaquestionsworld.com/halloween-trivia-questions/"">Halloween trivia questions</a>, and some <a href=""https://triviaquestionsworld.com/thanksgiving-trivia-questions/"">Thanksgiving trivia questions</a>.",General,False
What are some good and bad things about the education system in your country?,General,False
What do you think of online education?,General,False
How can governments make education more efficient?,General,False
What do you think of standardized tests?,General,False
How can technology improve education? Can it hurt education?,General,False
Are bigger or small schools better?,General,False
Is teaching a skill that can be taught?,General,False
What will the future of education be?,General,False
What do you think of homeschooling?,General,False
How has the education you received changed your life?,General,False
What or who has taught you most of the information you use on a regular basis?,General,False
What is your favorite food?,General,False
Do you like spicy food? Why or why not? What is the spiciest thing you have ever eaten?,General,False
What foods do you absolutely hate?,General,False
What food do you know you shouldn't eat but can't help yourself?,General,False
Does government have a place in regulating food? To what extent should government regulate food?,General,False
When was the last time you had a food fight?,General,False
What do you get every time you go grocery shopping?,General,False
"If your life was a meal, what would kind of meal would it be?",General,False
What do you think of buffets?,General,False
"What would you want your last meal to be if you were on <a href=""http://www.telegraph.co.uk/men/the-filter/10645831/No-Seconds-the-last-meals-of-Death-Row-inmates.html"">death row</a>?",General,False
What food looks disgusting but tastes delicious?,General,False
"When people make mistakes about food (especially foreign food) do you feel the need to correct them? (i.e. <a href=""https://thisonevsthatone.com/sushi-vs-sashimi/"">sushi / sashimi</a> or <a href=""https://thisonevsthatone.com/stromboli-vs-calzone/"">stromboli / calzone</a>)",General,False
Time freezes for everyone but you for one day. What do you do?,General,False
"If you could call up anyone in the world and have a one hour conversation, who would you call?",General,False
You have to relive one day of your life forever. Which day do you choose?,General,False
"If your mind was an island, what would it look like?",General,False
What flavor of ice cream do you wish existed?,General,False
What does your own personal hell look like? How about your own personal heaven?,General,False
A portal to another world opens in front of you. You don't know how long it will stay open or if you'll be able to get back after you go through. What do you do?,General,False
"If you had a personal mascot, what would your mascot be?",General,False
"You find a remote that can rewind, fast forward, stop and start time. What do you do with it?",General,False
"If you were a king / queen, what would your throne look like?",General,False
"If you were on the run from the police for a crime you didn't commit, where would you go?",General,False
Would you rather always be 10 minutes late or always be 20 minutes early?,Would You Rather,False
Would you rather lose all of your money and valuables or all of the pictures you have ever taken?,Would You Rather,False
Would you rather be able to see 10 minutes into your own future or 10 minutes into the future of anyone but yourself?,Would You Rather,False
Would you rather be famous when you are alive and forgotten when you die or unknown when you are alive but famous after you die?,Would You Rather,False
Would you rather go to jail for 4 years for something you didn't do or get away with something horrible you did but always live in fear of being caught?,Would You Rather,False
Would you rather accidentally be responsible for the death of a child or accidentally be responsible for the deaths of three adults?,Would You Rather,False
Would you rather your shirts be always two sizes too big or one size too small?,Would You Rather,False
Would you rather live in the wilderness far from civilization or live on the streets of a city as a homeless person?,Would You Rather,False
Would you rather the general public think you are a horrible person but your family be very proud of you or your family think you are a horrible person but the general public be very proud of you?,Would You Rather,False
Would you rather live your entire life in a virtual reality where all your wishes are granted or in the real world?,Would You Rather,False
Would you rather be alone for the rest of your life or always be surrounded by annoying people?,Would You Rather,False
Would you rather never use social media sites / apps again or never watch another movie or TV show?,Would You Rather,False
Would you rather have an easy job working for someone else or work for yourself but work incredibly hard?,Would You Rather,False
Would you rather be the first person to explore a planet or be the inventor of a drug that cures a deadly disease?,Would You Rather,False
Would you rather have a horrible short term memory or a horrible long term memory?,Would You Rather,False
Would you rather be completely invisible for one day or be able to fly for one day?,Would You Rather,False
Would you rather be locked in a room that is constantly dark for a week or a room that is constantly bright for a week?,Would You Rather,False
Would you rather be poor but help people or become incredibly rich by hurting people?,Would You Rather,False
Would you rather live without the internet or live without AC and heating?,Would You Rather,False
"Would you rather have a horrible job, but be able to retire comfortably in 10 years or have your dream job, but have to work until the day you die?",Would You Rather,False
Would you rather find your true love or a suitcase with five million dollars inside?,Would You Rather,False
Would you rather be able to teleport anywhere or be able to read minds?,Would You Rather,False
Would you rather die in 20 years with no regrets or die in 50 years with many regrets?,Would You Rather,False
Would you rather be feared by all or loved by all?,Would You Rather,False
Would you rather know when you are going to die or how you are going to die? (You can't change the time or method of your death.),Would You Rather,False
Would you rather be transported permanently 500 years into the future or 500 years into the past?,Would You Rather,False
Would you rather never be able to use a touchscreen or never be able to use a keyboard and mouse?,Would You Rather,False
Would you rather be able to control fire or water?,Would You Rather,False
Would you rather have everything you eat be too salty or not salty enough no matter how much salt you add?,Would You Rather,False
Would you rather have hands that kept growing as you got older or feet that kept growing as you got older?,Would You Rather,False
Would you rather have unlimited sushi for life or unlimited tacos for life? (both are amazingly delicious and can be any type of sushi / taco you want),Would You Rather,False
Would you rather be unable to use search engines or unable to use social media?,Would You Rather,False
Would you rather give up bathing for a month or give up the internet for a month?,Would You Rather,False
Would you rather donate your body to science or donate your organs to people who need them?,Would You Rather,False
Would you rather go back to age 5 with everything you know now or know now everything your future self will learn?,Would You Rather,False
Would you rather relive the same day for 365 days or lose a year of your life?,Would You Rather,False
Would you rather have a golden voice or a silver tongue?,Would You Rather,False
Would you rather be able to control animals (but not humans) with your mind or control electronics with your mind?,Would You Rather,False
Would you rather suddenly be elected a senator or suddenly become a CEO of a major company. (You won't have any more knowledge about how to do either job than you do right now.),Would You Rather,False
Would you rather sell all of your possessions or sell one of your organs?,Would You Rather,False
Would you rather lose all of your memories from birth to now or lose your ability to make new long term memories?,Would You Rather,False
Would you rather be infamous in history books or be forgotten after your death?,Would You Rather,False
Would you rather never have to work again or never have to sleep again (you won't feel tired or suffer negative health effects)?,Would You Rather,False
Would you rather be beautiful / handsome but stupid or intelligent but ugly?,Would You Rather,False
Would you rather get one free round trip international plane ticket every year or be able to fly domestic anytime for free?,Would You Rather,False
Would you rather be balding but fit or overweight with a full head of hair?,Would You Rather,False
Would you rather be able to be free from junk mail or free from email spam for the rest of your life?,Would You Rather,False
Would you rather be fluent in all languages and never be able to travel or be able to travel anywhere for a year but never be able to learn a word of a different language?,Would You Rather,False
Would you rather have an unlimited international first class ticket or never have to pay for food at restaurants?,Would You Rather,False
Would you rather seeÂ what was behind every closed door or be able to guessÂ the combination of everyÂ safe on the first try?,Would You Rather,False
Would you rather live in virtual reality where you are all powerful or live in the real world and be able to go anywhere but not be able to interact with anyone or anything?,Would You Rather,False
Would you rather never be able to eat meat or never be able to eat vegetables?,Would You Rather,False
Would you rather give up watching TV / movies for a year or give up playing games for a year?,Would You Rather,False
Would you rather always be able to see 5 minutes into the future or always be able to see 100 years into the future?,Would You Rather,False
Would you rather super sensitive taste or super sensitive hearing?,Would You Rather,False
Would you rather be a practicing doctor or a medical researcher?,Would You Rather,False
Would you rather be married to a 10 with a bad personality or a 6 with an amazing personality?,Would You Rather,False
Would you rather never be able to drink sodas like coke again or only be able to drink sodas and nothing else?,Would You Rather,False
Would you rather have amazingly fast typing / texting speed or be able to read ridiculously fast?,Would You Rather,False
Would you rather know the history of every object you touched or be able to talk to animals?,Would You Rather,False
Would you rather be aÂ reverse centaur or a reverse mermaid/merman?,Would You Rather,False
Would you rather have constantly dry eyes or a constant runny nose?,Would You Rather,False
Would you rather be a famous director or a famous actor?,Would You Rather,False
Would you rather not be able to open any closed doors (locked or unlocked) or not be able to close any open doors?,Would You Rather,False
Would you rather give up all drinks except for water or give up eating anything that was cooked in an oven?,Would You Rather,False
Would you rather be constantly tired no matter how much you sleep or constantly hungry no matter what you eat? Assuming that there are no health problems besides the feeling of hunger and sleepiness.,Would You Rather,False
Would you rather have to read aloud every word you read or sing everything you say out loud?,Would You Rather,False
Would you rather have whatever you are thinking appear above your head for everyone to see or have absolutely everything you do live streamed for anyone to see?,Would You Rather,False
Would you rather be put in a maximum security federal prison with the hardest of the hardened criminals for one year or be put in a relatively relaxed prison where wall street types are held for ten years?,Would You Rather,False
Would you rather have a clown only you can see that follows you everywhere and just stands silently in a corner watching you without doing or saying anything or have a real life stalker who dresses like the Easter bunny that everyone can see?,Would You Rather,False
Would you rather kill one innocent person or five people who committed minor crimes?,Would You Rather,False
Would you rather have a completely automated home or a self-driving car?,Would You Rather,False
Would you rather work very hard at a rewarding job or hardly have to work at a job that isn't rewarding?,Would You Rather,False
Would you rather be held in high regard by your parents or your friends?,Would You Rather,False
Would you rather be an amazing painter or a brilliant mathematician?,Would You Rather,False
Would you rather be reincarnated as a fly or just cease to exist after you die?,Would You Rather,False
Would you rather be able to go to any theme park in the world for free for the rest of your life or eat for free at any drive through restaurant for the rest of your life?,Would You Rather,False
Would you rather be only able to watch the few movies with a rotten tomatoes score of 95-100% or only be able to watch the majority of movies with a rotten tomatoes score of 94% and lower?,Would You Rather,False
Would you rather never lose your phone again or never lose your keys again?,Would You Rather,False
Would you rather have one real get out of jail free card or a key that opens any door?,Would You Rather,False
Would you rather have a criminal justice system that actually works and is fair or an administrative government that is free of corruption?,Would You Rather,False
Would you rather have real political power but be relatively poor or be ridiculously rich and have no political power?,Would You Rather,False
Would you rather have the power to gently nudge anyone's decisions or have complete puppet master control of five people?,Would You Rather,False
Would you rather have everyone laugh at your jokes but not find anyone else's jokes funny or have no one laugh at your jokes but you still find other people's jokes funny?,Would You Rather,False
Would you rather be the absolute best at something that no one takes seriously or be well above average but not anywhere near the best at something well respected?,Would You Rather,False
Would you rather lose the ability to read or lose the ability to speak?,Would You Rather,False
Would you rather live under a sky with no stars at night or live under a sky with no clouds during the day?,Would You Rather,False
"<iframe allowfullscreen=""allowfullscreen"" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/q-NBvRmmw7Y"" width=""560""></iframe>",Would You Rather,False
Would you rather humans go to the moon again or go to mars?,Would You Rather,False
Would you rather never get angry or never be envious?,Would You Rather,False
Would you rather have free Wi-Fi wherever you go or be able to drink unlimited free coffee at any coffee shop?,Would You Rather,False
Would you rather be compelled to high five everyone you meet or be compelled to give wedgies to anyone in a green shirt?,Would You Rather,False
Would you rather live in a house with see-through walls in a city or in the same see-though house but in the middle of a forest far from civilization?,Would You Rather,False
Would you rather take amazing selfies but all of your other pictures are horrible or take breathtaking photographs of anything but yourself?,Would You Rather,False
Would you rather use a push lawn mower with a bar that is far too high or far too low?,Would You Rather,False
Would you rather be able to dodge anything no matter how fast it's moving or be able ask any three questions and have them answered accurately?,Would You Rather,False
Would you rather live on the beach or in a cabin in the woods?,Would You Rather,False
Would you rather lose your left hand or right foot?,Would You Rather,False
Would you rather face your fears or forget that you have them?,Would You Rather,False
Would you rather be forced to dance every time you heard music or be forced to sing along to any song you heard?,Would You Rather,False
Would you rather have skin that changes color based on your emotions or tattoos appear all over your body depicting what you did yesterday?,Would You Rather,False
Would you rather live in a utopia as a normal person or in a dystopia but you are the supreme ruler?,Would You Rather,False
Would you rather snitch on your best friend for a crime they committed or go to jail for the crime they committed?,Would You Rather,False
"Would you rather have everything on your phone right now (browsing history, photos, etc.) made public to anyone who Google's you name or never use a cell phone again?",Would You Rather,False
Would you rather eat a box of dry spaghetti noodles or a cup of uncooked rice?,Would You Rather,False
Would you rather wake up as a new random person every year and have full control of them for the whole year or once a week spend a day inside a stranger without having any control of them?,Would You Rather,False
Would you rather be born again in a totally different life or born again with all the knowledge you have now?,Would You Rather,False
Would you rather be forced to kill a kitten or kill a puppy?,Would You Rather,False
Would you rather be lost in a bad part of town or lost in the forest?,Would You Rather,False
Would you rather never get a paper cut again or never get something stuck in your eye again?,Would You Rather,False
"Would you rather randomly time travel +/- 20 years every time you fart or teleport to a different place on earth (on land, not water) every time you sneeze?",Would You Rather,False
Would you rather the aliens that make first contact be robotic or organic?,Would You Rather,False
Would you rather be famous but ridiculed or be just a normal person?,Would You Rather,False
Would you rather be an amazing virtuoso at any instrument but only if you play naked or be able to speak any language but only if close your eyes and dance while you are doing it?,Would You Rather,False
Would you rather have a flying carpet or a car that can drive underwater?,Would You Rather,False
Would you rather be an amazing artist but not be able to see any of the art you created or be an amazing musician but not be able to hear any of the music you create?,Would You Rather,False
Would you rather there be a perpetual water balloon war going on in your city / town or a perpetual food fight?,Would You Rather,False
Would you rather find five dollars on the ground or find all of your missing socks?,Would You Rather,False
Would you rather never have another embarrassing fall in public or never feel the need to pass gas in public again?,Would You Rather,False
"Would you rather be able to talk to land animals, animals that fly, or animals that live under the water?",Would You Rather,False
Would you rather lose your best friend or all of your friends except for your best friend?,Would You Rather,False
Would you rather it be impossible for you to be woken up for 11 straight hours every day but you wake up feeling amazing or you can be woken up normally but never feel totally rested?,Would You Rather,False
Would you rather wake up every morning with a new hundred-dollar bill in your pocket but not know where it came from or wake up every morning with a new fifty-dollar bill in your pocket and know where it comes from?,Would You Rather,False
Would you rather everything you dream each night come true when you wake up or everything a randomly chosen person dreams each night come true when they wake up?,Would You Rather,False
Would you rather get 5 dollars for every song you sang in public or 50 dollars for every stranger you kiss?,Would You Rather,False
"Would you rather have a boomerang that would find and kill any one person of your choosing, anywhere in the world, but can only be used once or a boomerang that always returns to you with one dollar?",Would You Rather,False
Would you rather have every cat or dog that gets lost end up at your house or everyone's clothes that they forget in the dryer get teleported to your house?,Would You Rather,False
Would you rather never be stuck in traffic again or never get another cold?,Would You Rather,False
"Would you rather have to fart loudly once, every time you have a serious conversation or have to burp after every kiss?",Would You Rather,False
Would you rather know how above or below average you are at everything or know how above or below average people are at one skill / talent just by looking at them?,Would You Rather,False
Would you rather know the uncomfortable truth of the world or believe a comforting lie?,Would You Rather,False
Would you rather blink at twice the normal rate or not be able to blink for 5 minutes but then have to close your eyes for 10 seconds every 5 minutes?,Would You Rather,False
Would you rather have a cute well behaved child that stays at an age of your choosing for their entire life or a child that develops from a baby to 18 years old in 2 years and then ages normally?,Would You Rather,False
Would you rather it never stops snowing (the snow never piles up) or never stops raining (the rain never causes floods)?,Would You Rather,False
Would you rather have a bottomless box of Legos or a bottomless gas tank?,Would You Rather,False
Would you rather all conspiracy theories be true or live in a world where no leaders really know what they are doing?,Would You Rather,False
Would you rather all plants scream when you cut them / pick their fruit or animals beg for their lives before they are killed?,Would You Rather,False
Would you rather wake up each morning to find that a random animal appendage has replaced your non dominant arm or permanently replace your bottom half with an animal bottom of your choice?,Would You Rather,False
Would you rather every shirt you ever wear to be kind of itchy or only be able to use 1 ply toilet paper?,Would You Rather,False
Would you rather not be able to see any colors or have mild but constant tinnitus (ringing in the ears)?,Would You Rather,False
Would you rather go bald or be forever cursed to have terrible haircuts?,Would You Rather,False
Would you rather never be able to leave your own country or never be able to fly in an airplane?,Would You Rather,False
Would you rather fight for a cause you believe in but doubt will succeed or fight for a cause that you only partially believe in but have a high chance of your cause succeeding?,Would You Rather,False
Would you rather have no fingers or no elbows?,Would You Rather,False
Would you rather have edible spaghetti hair that regrows every night or sweat maple syrup?,Would You Rather,False
"Would you rather have everything in your house perfectly organized by a professional or have a professional event company throw the best party you've ever been to, in your honor?",Would You Rather,False
Would you rather have one nipple or two belly buttons?,Would You Rather,False
Would you rather be forced to eat only spicy food or only incredibly bland food?,Would You Rather,False
Would you rather never have a toilet clog on you again or never have the power go out again?,Would You Rather,False
Would you rather have all traffic lights you approach be green or never have to stand in line again?,Would You Rather,False
"Would you rather have all of your clothes fit perfectly or have the most comfortable pillow, blankets, and sheets in existence?",Would You Rather,False
Would you rather wake up in the middle of an unknown desert or wake up in a row boat on an unknown body of water?,Would You Rather,False
Would you rather be famous for inventing a deadly new weapon or invent something that helps the world but someone else gets all the credit for inventing it?,Would You Rather,False
Would you rather 5% of the population have telepathy or 5% of the population have telekinesis? You are not part of the 5% that has telepathy or telekinesis.,Would You Rather,False
Would you rather earbuds and headphones never sit right on / in your ears or have all music either slightly too quiet or slightly too loud?,Would You Rather,False
Would you rather always have a great body for your entire life but have slightly below average intelligence or have a mediocre body for your entire life but be slightly above average in intelligence?,Would You Rather,False
Would you rather become twice as strong when both of your fingers are stuck in your ears or crawl twice as fast as you can run?,Would You Rather,False
"Would you rather be in debt for $100,000 or never be able to make more than $3,500 a month?",Would You Rather,False
Would you rather be the best in the world at climbing trees or the best in the world at jumping rope?,Would You Rather,False
"Would you rather live in a <a href=""https://thisonevsthatone.com/dessert-vs-desert/"">giant desert or a giant dessert</a>?",Would You Rather,False
Would you rather have everything you draw become real but be terrible at drawing or be able to fly but only as fast as you can walk?,Would You Rather,False
Would you rather have a map that shows you the location of anything you want to find and can be used again and again but has a margin of error of up to a mile or a device that allows you to find the location of anything you want with incredible accuracy but can only be used three times?,Would You Rather,False
Would you rather never run out of battery power for whatever phone and tablet you own or always have free Wi-Fi wherever you go?,Would You Rather,False
Would you rather live until you are 200 but look like you are 200 the whole time even though you are healthy or look like you are 25 all the way until you die at age 65?,Would You Rather,False
Would you rather 20 butterflies instantly appear from nowhere every time you cough or 100 butterflies die somewhere in the world every time you cough?,Would You Rather,False
Would you rather live a comfortable and peaceful life in the woods in a small cabin or a life full of conflict in a mansion in a city?,Would You Rather,False
Would you rather have unlimited amounts of any material you want to build a house but you have to build the house yourself or have a famed architect design and build you a modest house?,Would You Rather,False
Would you rather have all animals feel compelled to obey you if you come within 10 feet of them or be given the opportunity to genetically design a pet that will be loyal only to you with the combined DNA of three animals?,Would You Rather,False
Would you rather be covered in fur or covered in scales?,Would You Rather,False
Would you rather your only mode of transportation be a donkey or a giraffe?,Would You Rather,False
Would you rather live in a cave or live in a tree house?,Would You Rather,False
Would you rather never sweat again or never feel cold again?,Would You Rather,False
